"","Label","Type","0- Reference","1- Length only","2- Age only","3- Length Age only","4a- Catch length","4b- Catch length rec devs","5a- Catch age","5b- Catch age rec devs","6a- Catch length age","6b- Catch length age recdevs"
"205",NA,"Size_DblN_ascend_se_NonTRWL(2)",4.30151,NA,-2.68233,4.36784,4.92347,4.82724,5.04734,4.3266,5.08815,4.89824
"206",NA,"Size_DblN_descend_se_NonTRWL(2)",3,NA,-15,-15,-15,-15,-15,-15,-15,-15
"207",NA,"Size_DblN_start_logit_NonTRWL(2)",-4,NA,-15,-15,-15,-15,-15,-15,-15,-15
"208",NA,"Size_DblN_end_logit_NonTRWL(2)",5,NA,15,15,15,15,15,15,15,15
"209",NA,"Size_DblN_peak_Recreational(3)",43.5159,NA,54.8966,44.1108,45.3147,45.8028,37.2628,35.6988,46.8698,46.0256
"210",NA,"Size_DblN_top_logit_Recreational(3)",2.49744,NA,15,15,15,15,15,15,15,15
"211",NA,"Size_DblN_ascend_se_Recreational(3)",3.6528,NA,-3.99998,3.90753,4.10492,4.13078,-1.10674,-1.08635,4.23295,4.09798
"212",NA,"Size_DblN_descend_se_Recreational(3)",3,NA,-15,-15,-15,-15,-15,-15,-15,-15
"213",NA,"Size_DblN_start_logit_Recreational(3)",-4,NA,-15,-15,-15,-15,-15,-15,-15,-15
"214",NA,"Size_DblN_end_logit_Recreational(3)",5,NA,15,15,15,15,15,15,15,15
"215",NA,"Size_DblN_peak_Tagging(4)",41.7064,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,"Size_DblN_top_logit_Tagging(4)",-3.68762,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,"Size_DblN_ascend_se_Tagging(4)",3.35216,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,"Size_DblN_descend_se_Tagging(4)",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,"Size_DblN_start_logit_Tagging(4)",-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,"Size_DblN_end_logit_Tagging(4)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,"Size_DblN_peak_Nearshore_survey(5)",32.2155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,"Size_DblN_top_logit_Nearshore_survey(5)",-2.58759,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,"Size_DblN_ascend_se_Nearshore_survey(5)",3.7493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,"Size_DblN_descend_se_Nearshore_survey(5)",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,"Size_DblN_start_logit_Nearshore_survey(5)",-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,"Size_DblN_end_logit_Nearshore_survey(5)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,"Size_DblN_peak_OCNMS(6)",26.6551,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,"Size_DblN_top_logit_OCNMS(6)",3.50569,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,"Size_DblN_ascend_se_OCNMS(6)",3.58539,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,"Size_DblN_descend_se_OCNMS(6)",-4.49974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,"Size_DblN_start_logit_OCNMS(6)",-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,"Size_DblN_end_logit_OCNMS(6)",-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,"SizeSel_P1_Private_Boat(8)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,"SizeSel_P2_Private_Boat(8)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,"SizeSel_P1_Charter(9)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,"SizeSel_P2_Charter(9)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,"InitF_seas_1_flt_1Fishery1",NA,0.138811,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,"InitF_seas_1_flt_2Fishery2",NA,8.5737e-10,NA,NA,NA,NA,NA,NA,NA,NA
